No Label_Name                            R   G   B   A
53  Right_Hippocampus                       220 216 20  0
54  Right_Amygdala                          103 255 255 0
55  Right_Insula                            80  196 98  0
56  Right_Operculum                         60  58  210 0
57  Right_Lesion                            255 165 0   0
58  Right_Accumbens_area                    255 165 0   0
59  Right_Substancia_Nigra                  0   255 127 0
60  Right_VentralDC                         165 42  42  0
61  Right_undetermined                      135 206 235 0
62  Right_vessel                            160 32  240 0
63  Right_choroid_plexus                    0   200 221 0
64  Right_F3orb                             100 50  100 0
65  Right_lOg                               135 50  74  0
66  Right_aOg                               122 135 50  0
67  Right_mOg                               51  50  135 0
68  Right_pOg                               74  155 60  0
69  Right_Stellate                          120 62  43  0
70  Right_Porg                              74  155 60  0
71  Right_Aorg                              122 135 50  0
72  5th_Ventricle                           120 190 150 0
73  Left_Interior                           122 135 50  0
74  Right_Interior                          122 135 50  0
77  WM_hypointensities                      200 70  255 0
78  Left_WM_hypointensities                 255 148 10  0
79  Right_WM_hypointensities                255 148 10  0
80  non_WM_hypointensities                  164 108 226 0
81  Left_non_WM_hypointensities             164 108 226 0
82  Right_non_WM_hypointensities            164 108 226 0
83  Left_F1                                 255 218 185 0
84  Right_F1                                255 218 185 0
85  Optic_Chiasm                            234 169 30  0
192 Corpus_Callosum                         250 255 50  0
86  Left_future_WMSA                        200 120  255 0
87  Right_future_WMSA                       200 121  255 0
88  future_WMSA                             200 122  255 0
96  Left_Amygdala_Anterior                  205 10  125 0
97  Right_Amygdala_Anterior                 205 10  125 0
98  Dura                                    160 32  240 0
100 Left_wm_intensity_abnormality           124 140 178 0
101 Left_caudate_intensity_abnormality      125 140 178 0
102 Left_putamen_intensity_abnormality      126 140 178 0
103 Left_accumbens_intensity_abnormality    127 140 178 0
104 Left_pallidum_intensity_abnormality     124 141 178 0
105 Left_amygdala_intensity_abnormality     124 142 178 0
106 Left_hippocampus_intensity_abnormality  124 143 178 0
107 Left_thalamus_intensity_abnormality     124 144 178 0
108 Left_VDC_intensity_abnormality          124 140 179 0
109 Right_wm_intensity_abnormality          124 140 178 0
110 Right_caudate_intensity_abnormality     125 140 178 0
111 Right_putamen_intensity_abnormality     126 140 178 0
112 Right_accumbens_intensity_abnormality   127 140 178 0
113 Right_pallidum_intensity_abnormality    124 141 178 0
114 Right_amygdala_intensity_abnormality    124 142 178 0
115 Right_hippocampus_intensity_abnormality 124 143 178 0
116 Right_thalamus_intensity_abnormality    124 144 178 0
117 Right_VDC_intensity_abnormality         124 140 179 0
118 Epidermis                               255 20  147 0
119 Conn_Tissue                             205 179 139 0
120 SC_Fat_Muscle                           238 238 209 0
121 Cranium                                 200 200 200 0
122 CSF_SA                                  74  255 74  0
123 Muscle                                  238 0   0   0
124 Ear                                     0   0   139 0
125 Adipose                                 173 255 47  0
126 Spinal_Cord                             133 203 229 0
127 Soft_Tissue                             26  237 57  0
128 Nerve                                   34  139 34  0
129 Bone                                    30  144 255 0
130 Air                                     147 19  173 0
131 Orbital_Fat                             238 59  59  0
132 Tongue                                  221 39  200 0
133 Nasal_Structures                        238 174 238 0
134 Globe                                   255 0   0   0
135 Teeth                                   72  61  139 0
136 Left_Caudate_Putamen                    21  39  132 0
137 Right_Caudate_Putamen                   21  39  132 0
138 Left_Claustrum                          65  135 20  0
139 Right_Claustrum                         65  135 20  0
140 Cornea                                  134 4   160 0
142 Diploe                                  221 226 68  0
143 Vitreous_Humor                          255 255 254 0
144 Lens                                    52  209 226 0
145 Aqueous_Humor                           239 160 223 0
146 Outer_Table                             70  130 180 0
147 Inner_Table                             70  130 181 0
148 Periosteum                              139 121 94  0
149 Endosteum                               224 224 224 0
150 R_C_S                                   255 0   0   0
151 Iris                                    205 205 0   0
152 SC_Adipose_Muscle                       238 238 209 0
153 SC_Tissue                               139 121 94  0
154 Orbital_Adipose                         238 59  59  0
155 Left_IntCapsule_Ant                     238 59  59  0
156 Right_IntCapsule_Ant                    238 59  59  0
157 Left_IntCapsule_Pos                     62  10  205 0
158 Right_IntCapsule_Pos                    62  10  205 0
159 Left_Cerebral_WM_unmyelinated           0   118 14  0
160 Right_Cerebral_WM_unmyelinated          0   118 14  0
161 Left_Cerebral_WM_myelinated             220 216 21  0
162 Right_Cerebral_WM_myelinated            220 216 21  0
163 Left_Subcortical_Gray_Matter            122 186 220 0
164 Right_Subcortical_Gray_Matter           122 186 220 0
165 Skull                                   120 120 120 0
166 Posterior_fossa                         14  48  255 0
167 Scalp                                   166 42  42  0
168 Hematoma                                121 18  134 0
169 Left_Basal_Ganglia                      236 13  127 0
176 Right_Basal_Ganglia                     236 13  126 0
170 brainstem                               119 159 176 0
171 DCG                                     119 0   176 0
172 Vermis                                  119 100 176 0
173 Midbrain                                242 104 76  0
174 Pons                                    206 195 58  0
175 Medulla                                 119 159 176 0
177 Vermis_White_Matter                     119  50 176 0
178 SCP                                     142 182 0   0
179 Floculus                                 19 100 176 0
180 Left_Cortical_Dysplasia                 73  61  139 0
181 Right_Cortical_Dysplasia                73  62  139 0
182 CblumNodulus                            10 100  176 0
193 Left_hippocampal_fissure                0   196 255 0
194 Left_CADG_head                          255 164 164 0
195 Left_subiculum                          196 196 0   0
196 Left_fimbria                            0   100 255 0
197 Right_hippocampal_fissure               128 196 164 0
198 Right_CADG_head                         0   126 75  0
199 Right_subiculum                         128 96  64  0
200 Right_fimbria                           0   50  128 0
201 alveus                                  255 204 153 0
202 perforant_pathway                       255 128 128 0
203 parasubiculum                           255 255 0   0
204 presubiculum                            64  0   64  0
205 subiculum                               0   0   255 0
206 CA1                                     255 0   0   0
207 CA2                                     128 128 255 0
208 CA3                                     0   128 0   0
209 CA4                                     196 160 128 0
210 GC_DG                                   32  200 255 0
211 HATA                                    128 255 128 0
212 fimbria                                 204 153 204 0
213 lateral_ventricle                       121 17  136 0
214 molecular_layer_HP                      128 0   0   0
215 hippocampal_fissure                     128 32  255 0
216 entorhinal_cortex                       255 204 102 0
217 molecular_layer_subiculum               128 128 128 0
218 Amygdala                                104 255 255 0
219 Cerebral_White_Matter                   0   226 0   0
220 Cerebral_Cortex                         205 63  78  0
221 Inf_Lat_Vent                            197 58  250 0
222 Perirhinal                              33  150 250 0
223 Cerebral_White_Matter_Edge              226 0   0   0
224 Background                              100 100 100 0
225 Ectorhinal                              197 150 250 0
226 HP_tail                                 170 170 255 0
250 Fornix                                  255 0   0   0
251 CC_Posterior                            0   0   64  0
252 CC_Mid_Posterior                        0   0   112 0
253 CC_Central                              0   0   160 0
254 CC_Mid_Anterior                         0   0   208 0
255 CC_Anterior                             0   0   255 0
256 Voxel_Unchanged                         0   0   0   0
257 CSF_ExtraCerebral                      60  60  60  0
258 Head_ExtraCerebral                    150 150 200  0
259 SkullApprox                           120 120 120  0
260 BoneOrAir                             119 159 176 0
261 PossibleFluid                         120  18 134 0
262 Sinus                                 119 159 176 0
263 Left_Eustachian                       119 159 176 0
264 Right_Eustachian                      119 159 176 0
331 Aorta                                   255 0   0   0
332 Left_Common_IliacA                      255 80  0   0
333 Right_Common_IliacA                     255 160 0   0
334 Left_External_IliacA                    255 255 0   0
335 Right_External_IliacA                   0   255 0   0
336 Left_Internal_IliacA                    255 0   160 0
337 Right_Internal_IliacA                   255 0   255 0
338 Left_Lateral_SacralA                    255 50  80  0
339 Right_Lateral_SacralA                   80  255 50  0
340 Left_ObturatorA                         160 255 50  0
341 Right_ObturatorA                        160 200 255 0
342 Left_Internal_PudendalA                 0   255 160 0
343 Right_Internal_PudendalA                0   0   255 0
344 Left_UmbilicalA                         80  50  255 0
345 Right_UmbilicalA                        160 0   255 0
346 Left_Inf_RectalA                        255 210 0   0
347 Right_Inf_RectalA                       0   160 255 0
348 Left_Common_IliacV                      255 200 80  0
349 Right_Common_IliacV                     255 200 160 0
350 Left_External_IliacV                    255 80  200 0
351 Right_External_IliacV                   255 160 200 0
352 Left_Internal_IliacV                    30  255 80  0
353 Right_Internal_IliacV                   80  200 255 0
354 Left_ObturatorV                         80  255 200 0
355 Right_ObturatorV                        195 255 200 0
356 Left_Internal_PudendalV                 120 200 20  0
357 Right_Internal_PudendalV                170 10  200 0
358 Pos_Lymph                               20  130 180 0
359 Neg_Lymph                               20  180 130 0
400 V1                                      206 62  78  0
401 V2                                      121 18  134 0
402 BA44                                    199 58  250 0
403 BA45                                    1   148 0   0
404 BA4a                                    221 248 164 0
405 BA4p                                    231 148 34  0
406 BA6                                     1   118 14  0
407 BA2                                     120 118 14  0
408 BA1_old                                 123 186 221 0
409 BAun2                                   238 13  177 0
410 BA1                                     123 186 220 0
411 BA2b                                    138 13  206 0
412 BA3a                                    238 130 176 0
413 BA3b                                    218 230 76  0
414 MT                                      38  213 176 0
415 AIPS_AIP_l                              1   225 176 0
416 AIPS_AIP_r                              1   225 176 0
417 AIPS_VIP_l                              200 2   100 0
418 AIPS_VIP_r                              200 2   100 0
419 IPL_PFcm_l                              5   200 90  0
420 IPL_PFcm_r                              5   200 90  0
421 IPL_PF_l                                100 5   200 0
422 IPL_PFm_l                               25  255 100 0
423 IPL_PFm_r                               25  255 100 0
424 IPL_PFop_l                              230 7   100 0
425 IPL_PFop_r                              230 7   100 0
426 IPL_PF_r                                100 5   200 0
427 IPL_PFt_l                               150 10  200 0
428 IPL_PFt_r                               150 10  200 0
429 IPL_PGa_l                               175 10  176 0
430 IPL_PGa_r                               175 10  176 0
431 IPL_PGp_l                               10  100 255 0
432 IPL_PGp_r                               10  100 255 0
433 Visual_V3d_l                            150 45  70  0
434 Visual_V3d_r                            150 45  70  0
435 Visual_V4_l                             45  200 15  0
436 Visual_V4_r                             45  200 15  0
437 Visual_V5_b                             227 45  100 0
438 Visual_VP_l                             227 45  100 0
439 Visual_VP_r                             227 45  100 0
498 wmsa                                    143 188 143 0
499 other_wmsa                              255 248 220 0
500 right_CA2_3                             17  85  136 0
501 right_alveus                            119 187 102 0
502 right_CA1                               204 68  34  0
503 right_fimbria                           204 0   255 0
504 right_presubiculum                      221 187 17  0
505 right_hippocampal_fissure               153 221 238 0
506 right_CA4_DG                            51  17  17  0
507 right_subiculum                         0   119 85  0
508 right_fornix                            20  100 200 0
550 left_CA2_3                              17  85  137 0
551 left_alveus                             119 187 103 0
552 left_CA1                                204 68  35  0
553 left_fimbria                            204 0   254 0
554 left_presubiculum                       221 187 16  0
555 left_hippocampal_fissure                153 221 239 0
556 left_CA4_DG                             51  17  18  0
557 left_subiculum                          0   119 86  0
558 left_fornix                             20  100 201 0
600 Tumor                                   254 254 254 0
601  Cbm_Left_I_IV                          70  130 180 0
602  Cbm_Right_I_IV                         245 245 245 0
603  Cbm_Left_V                             205 62  78  0
604  Cbm_Right_V                            120 18  134 0
605  Cbm_Left_VI                            196 58  250 0
606  Cbm_Vermis_VI                          0   148 0   0
607  Cbm_Right_VI                           220 248 164 0
608  Cbm_Left_CrusI                         230 148 34  0
609  Cbm_Vermis_CrusI                       0   118 14  0
610  Cbm_Right_CrusI                        0   118 14  0
611  Cbm_Left_CrusII                        122 186 220 0
612  Cbm_Vermis_CrusII                      236 13  176 0
613  Cbm_Right_CrusII_12                    48  255 0   0
614  Cbm_Left_VIIb                          204 182 142 0
615  Cbm_Vermis_VIIb                        42  204 164 0
616  Cbm_Right_VIIb                         119 159 176 0
617  Cbm_Left_VIIIa                         220 216 20  0
618  Cbm_Vermis_VIIIa                       103 255 255 0
619  Cbm_Right_VIIIa                        80  196 98  0
620  Cbm_Left_VIIIb                         60  58  210 0
621  Cbm_Vermis_VIIIb                       60  58  210 0
622  Cbm_Right_VIIIb                        60  58  210 0
623  Cbm_Left_IX                            60  58  210 0
624  Cbm_Vermis_IX                          60  60  60  0
625  Cbm_Right_IX                           255 165 0   0
626  Cbm_Left_X                             255 165 0   0
627  Cbm_Vermis_X                           0   255 127 0
628  Cbm_Right_X                            165 42  42  0
640  Cbm_Right_I_V_med                      204  0  0   0
641  Cbm_Right_I_V_mid                      255  0  0   0
642  Cbm_Right_VI_med                       0    0  255 0
643  Cbm_Right_VI_mid                       30  144 255 0
644  Cbm_Right_VI_lat                       100 212 237 0
645  Cbm_Right_CrusI_med                    218 165 32  0
646  Cbm_Right_CrusI_mid                    255 215 0   0
647  Cbm_Right_CrusI_lat                    255 255 166 0
648  Cbm_Right_CrusII_med                   153 0   204 0
649  Cbm_Right_CrusII_mid                   153 141 209 0
650  Cbm_Right_CrusII_lat                   204 204 255 0
651  Cbm_Right_7med                         31  212 194 0
652  Cbm_Right_7mid                         3   255 237 0
653  Cbm_Right_7lat                         204 255 255 0
654  Cbm_Right_8med                         86  74  147 0
655  Cbm_Right_8mid                         114 114 190 0
656  Cbm_Right_8lat                         184 178 255 0
657  Cbm_Right_PUNs                         126 138 37  0
658  Cbm_Right_TONs                         189 197 117 0
659  Cbm_Right_FLOs                         240 230 140 0
660  Cbm_Left_I_V_med                       204  0  0   0
661  Cbm_Left_I_V_mid                       255  0  0   0
662  Cbm_Left_VI_med                        0    0  255 0
663  Cbm_Left_VI_mid                        30  144 255 0
664  Cbm_Left_VI_lat                        100 212 237 0
665  Cbm_Left_CrusI_med                     218 165 32  0
666  Cbm_Left_CrusI_mid                     255 215 0   0
667  Cbm_Left_CrusI_lat                     255 255 166 0
668  Cbm_Left_CrusII_med                    153 0   204 0
669  Cbm_Left_CrusII_mid                    153 141 209 0
670  Cbm_Left_CrusII_lat                    204 204 255 0
671  Cbm_Left_7med                          31  212 194 0
672  Cbm_Left_7mid                          3   255 237 0
673  Cbm_Left_7lat                          204 255 255 0
674  Cbm_Left_8med                          86  74  147 0
675  Cbm_Left_8mid                          114 114 190 0
676  Cbm_Left_8lat                          184 178 255 0
677  Cbm_Left_PUNs                          126 138 37  0
678  Cbm_Left_TONs                          189 197 117 0
679  Cbm_Left_FLOs                          240 230 140 0
690  CbmWM_Gyri_Left                        122 135 50  0
691  CbmWM_Gyri_Right                       122 135 50  0
701 CSF_FSL_FAST                            120 18  134 0
702 GrayMatter_FSL_FAST                     205 62  78  0
703 WhiteMatter_FSL_FAST                    0   225 0   0
999 SUSPICIOUS                              255 100 100 0
1000    ctx_lh_unknown                      25  5   25  0
1001    ctx_lh_bankssts                     25  100 40  0
1002    ctx_lh_caudalanteriorcingulate      125 100 160 0
1003    ctx_lh_caudalmiddlefrontal          100 25  0   0
1004    ctx_lh_corpuscallosum               120 70  50  0
1005    ctx_lh_cuneus                       220 20  100 0
1006    ctx_lh_entorhinal                   220 20  10  0
1007    ctx_lh_fusiform                     180 220 140 0
1008    ctx_lh_inferiorparietal             220 60  220 0
1009    ctx_lh_inferiortemporal             180 40  120 0
1010    ctx_lh_isthmuscingulate             140 20  140 0
1011    ctx_lh_lateraloccipital             20  30  140 0
1012    ctx_lh_lateralorbitofrontal         35  75  50  0
1013    ctx_lh_lingual                      225 140 140 0
1014    ctx_lh_medialorbitofrontal          200 35  75  0
1015    ctx_lh_middletemporal               160 100 50  0
1016    ctx_lh_parahippocampal              20  220 60  0
1017    ctx_lh_paracentral                  60  220 60  0
1018    ctx_lh_parsopercularis              220 180 140 0
1019    ctx_lh_parsorbitalis                20  100 50  0
1020    ctx_lh_parstriangularis             220 60  20  0
1021    ctx_lh_pericalcarine                120 100 60  0
1022    ctx_lh_postcentral                  220 20  20  0
1023    ctx_lh_posteriorcingulate           220 180 220 0
1024    ctx_lh_precentral                   60  20  220 0
1025    ctx_lh_precuneus                    160 140 180 0
1026    ctx_lh_rostralanteriorcingulate     80  20  140 0
1027    ctx_lh_rostralmiddlefrontal         75  50  125 0
1028    ctx_lh_superiorfrontal              20  220 160 0
1029    ctx_lh_superiorparietal             20  180 140 0
1030    ctx_lh_superiortemporal             140 220 220 0
1031    ctx_lh_supramarginal                80  160 20  0
1032    ctx_lh_frontalpole                  100 0   100 0
1033    ctx_lh_temporalpole                 70  70  70  0
1034    ctx_lh_transversetemporal           150 150 200 0
1035    ctx_lh_insula                       255 192 32  0
2000    ctx_rh_unknown                      25  5   25  0
2001    ctx_rh_bankssts                     25  100 40  0
2002    ctx_rh_caudalanteriorcingulate      125 100 160 0
2003    ctx_rh_caudalmiddlefrontal          100 25  0   0
2004    ctx_rh_corpuscallosum               120 70  50  0
2005    ctx_rh_cuneus                       220 20  100 0
2006    ctx_rh_entorhinal                   220 20  10  0
2007    ctx_rh_fusiform                     180 220 140 0
2008    ctx_rh_inferiorparietal             220 60  220 0
2009    ctx_rh_inferiortemporal             180 40  120 0
2010    ctx_rh_isthmuscingulate             140 20  140 0
2011    ctx_rh_lateraloccipital             20  30  140 0
2012    ctx_rh_lateralorbitofrontal         35  75  50  0
2013    ctx_rh_lingual                      225 140 140 0
2014    ctx_rh_medialorbitofrontal          200 35  75  0
2015    ctx_rh_middletemporal               160 100 50  0
2016    ctx_rh_parahippocampal              20  220 60  0
2017    ctx_rh_paracentral                  60  220 60  0
2018    ctx_rh_parsopercularis              220 180 140 0
2019    ctx_rh_parsorbitalis                20  100 50  0
2020    ctx_rh_parstriangularis             220 60  20  0
2021    ctx_rh_pericalcarine                120 100 60  0
2022    ctx_rh_postcentral                  220 20  20  0
2023    ctx_rh_posteriorcingulate           220 180 220 0
2024    ctx_rh_precentral                   60  20  220 0
2025    ctx_rh_precuneus                    160 140 180 0
2026    ctx_rh_rostralanteriorcingulate     80  20  140 0
2027    ctx_rh_rostralmiddlefrontal         75  50  125 0
2028    ctx_rh_superiorfrontal              20  220 160 0
2029    ctx_rh_superiorparietal             20  180 140 0
2030    ctx_rh_superiortemporal             140 220 220 0
2031    ctx_rh_supramarginal                80  160 20  0
2032    ctx_rh_frontalpole                  100 0   100 0
2033    ctx_rh_temporalpole                 70  70  70  0
2034    ctx_rh_transversetemporal           150 150 200 0
2035    ctx_rh_insula                       255 192 32  0
3000    wm_lh_unknown                       230 250 230 0
3001    wm_lh_bankssts                      230 155 215 0
3002    wm_lh_caudalanteriorcingulate       130 155 95  0
3003    wm_lh_caudalmiddlefrontal           155 230 255 0
3004    wm_lh_corpuscallosum                135 185 205 0
3005    wm_lh_cuneus                        35  235 155 0
3006    wm_lh_entorhinal                    35  235 245 0
3007    wm_lh_fusiform                      75  35  115 0
3008    wm_lh_inferiorparietal              35  195 35  0
3009    wm_lh_inferiortemporal              75  215 135 0
3010    wm_lh_isthmuscingulate              115 235 115 0
3011    wm_lh_lateraloccipital              235 225 115 0
3012    wm_lh_lateralorbitofrontal          220 180 205 0
3013    wm_lh_lingual                       30  115 115 0
3014    wm_lh_medialorbitofrontal           55  220 180 0
3015    wm_lh_middletemporal                95  155 205 0
3016    wm_lh_parahippocampal               235 35  195 0
3017    wm_lh_paracentral                   195 35  195 0
3018    wm_lh_parsopercularis               35  75  115 0
3019    wm_lh_parsorbitalis                 235 155 205 0
3020    wm_lh_parstriangularis              35  195 235 0
3021    wm_lh_pericalcarine                 135 155 195 0
3022    wm_lh_postcentral                   35  235 235 0
3023    wm_lh_posteriorcingulate            35  75  35  0
3024    wm_lh_precentral                    195 235 35  0
3025    wm_lh_precuneus                     95  115 75  0
3026    wm_lh_rostralanteriorcingulate      175 235 115 0
3027    wm_lh_rostralmiddlefrontal          180 205 130 0
3028    wm_lh_superiorfrontal               235 35  95  0
3029    wm_lh_superiorparietal              235 75  115 0
3030    wm_lh_superiortemporal              115 35  35  0
3031    wm_lh_supramarginal                 175 95  235 0
3032    wm_lh_frontalpole                   155 255 155 0
3033    wm_lh_temporalpole                  185 185 185 0
3034    wm_lh_transversetemporal            105 105 55  0
3035    wm_lh_insula                        20  220 160 0
4000    wm_rh_unknown                       230 250 230 0
4001    wm_rh_bankssts                      230 155 215 0
4002    wm_rh_caudalanteriorcingulate       130 155 95  0
4003    wm_rh_caudalmiddlefrontal           155 230 255 0
4004    wm_rh_corpuscallosum                135 185 205 0
4005    wm_rh_cuneus                        35  235 155 0
4006    wm_rh_entorhinal                    35  235 245 0
4007    wm_rh_fusiform                      75  35  115 0
4008    wm_rh_inferiorparietal              35  195 35  0
4009    wm_rh_inferiortemporal              75  215 135 0
4010    wm_rh_isthmuscingulate              115 235 115 0
4011    wm_rh_lateraloccipital              235 225 115 0
4012    wm_rh_lateralorbitofrontal          220 180 205 0
4013    wm_rh_lingual                       30  115 115 0
4014    wm_rh_medialorbitofrontal           55  220 180 0
4015    wm_rh_middletemporal                95  155 205 0
4016    wm_rh_parahippocampal               235 35  195 0
4017    wm_rh_paracentral                   195 35  195 0
4018    wm_rh_parsopercularis               35  75  115 0
4019    wm_rh_parsorbitalis                 235 155 205 0
4020    wm_rh_parstriangularis              35  195 235 0
4021    wm_rh_pericalcarine                 135 155 195 0
4022    wm_rh_postcentral                   35  235 235 0
4023    wm_rh_posteriorcingulate            35  75  35  0
4024    wm_rh_precentral                    195 235 35  0
4025    wm_rh_precuneus                     95  115 75  0
4026    wm_rh_rostralanteriorcingulate      175 235 115 0
4027    wm_rh_rostralmiddlefrontal          180 205 130 0
4028    wm_rh_superiorfrontal               235 35  95  0
4029    wm_rh_superiorparietal              235 75  115 0
4030    wm_rh_superiortemporal              115 35  35  0
4031    wm_rh_supramarginal                 175 95  235 0
4032    wm_rh_frontalpole                   155 255 155 0
4033    wm_rh_temporalpole                  185 185 185 0
4034    wm_rh_transversetemporal            105 105 55  0
4035    wm_rh_insula                        20  220 160 0
3201    wm_lh_frontal_lobe                  235 35  95  0
3203    wm_lh_cingulate_lobe                35  75  35  0
3204    wm_lh_occiptal_lobe                 135 155 195 0
3205    wm_lh_temporal_lobe                 115 35  35  0
3206    wm_lh_parietal_lobe                 35  195 35  0
3207    wm_lh_insula_lobe                   20  220 160 0
4201    wm_rh_frontal_lobe                  235 35  95  0
4203    wm_rh_cingulate_lobe                35  75  35  0
4204    wm_rh_occiptal_lobe                 135 155 195 0
4205    wm_rh_temporal_lobe                 115 35  35  0
4206    wm_rh_parietal_lobe                 35  195 35  0
4207    wm_rh_insula_lobe                   20  220 160 0
1100    ctx_lh_Unknown                                  0   0   0   0
1101    ctx_lh_Corpus_callosum                          50  50  50  0
1102    ctx_lh_G_and_S_Insula_ONLY_AVERAGE              180 20  30  0
1103    ctx_lh_G_cingulate_Isthmus                      60  25  25  0
1104    ctx_lh_G_cingulate_Main_part                    25  60  60  0
1200    ctx_lh_G_cingulate_caudal_ACC                   25  60  61  0
1201    ctx_lh_G_cingulate_rostral_ACC                  25  90  60  0
1202    ctx_lh_G_cingulate_posterior                    25  120 60  0
1205    ctx_lh_S_cingulate_caudal_ACC                   25  150 60  0
1206    ctx_lh_S_cingulate_rostral_ACC                  25  180 60  0
1207    ctx_lh_S_cingulate_posterior                    25  210 60  0
1210    ctx_lh_S_pericallosal_caudal                    25  150 90  0
1211    ctx_lh_S_pericallosal_rostral                   25  180 90  0
1212    ctx_lh_S_pericallosal_posterior                 25  210 90  0
1105    ctx_lh_G_cuneus                                 180 20  20  0
1106    ctx_lh_G_frontal_inf_Opercular_part             220 20  100 0
1107    ctx_lh_G_frontal_inf_Orbital_part               140 60  60  0
1108    ctx_lh_G_frontal_inf_Triangular_part            180 220 140 0
1109    ctx_lh_G_frontal_middle                         140 100 180 0
1110    ctx_lh_G_frontal_superior                       180 20  140 0
1111    ctx_lh_G_frontomarginal                         140 20  140 0
1112    ctx_lh_G_insular_long                           21  10  10  0
1113    ctx_lh_G_insular_short                          225 140 140 0
1114    ctx_lh_G_and_S_occipital_inferior               23  60  180 0
1115    ctx_lh_G_occipital_middle                       180 60  180 0
1116    ctx_lh_G_occipital_superior                     20  220 60  0
1117    ctx_lh_G_occipit_temp_lat_Or_fusiform           60  20  140 0
1118    ctx_lh_G_occipit_temp_med_Lingual_part          220 180 140 0
1119    ctx_lh_G_occipit_temp_med_Parahippocampal_part  65  100 20  0
1120    ctx_lh_G_orbital                                220 60  20  0
1121    ctx_lh_G_paracentral                            60  100 60  0
1122    ctx_lh_G_parietal_inferior_Angular_part         20  60  220 0
1123    ctx_lh_G_parietal_inferior_Supramarginal_part   100 100 60  0
1124    ctx_lh_G_parietal_superior                      220 180 220 0
1125    ctx_lh_G_postcentral                            20  180 140 0
1126    ctx_lh_G_precentral                             60  140 180 0
1127    ctx_lh_G_precuneus                              25  20  140 0
1128    ctx_lh_G_rectus                                 20  60  100 0
1129    ctx_lh_G_subcallosal                            60  220 20  0
1130    ctx_lh_G_subcentral                             60  20  220 0
1131    ctx_lh_G_temporal_inferior                      220 220 100 0
1132    ctx_lh_G_temporal_middle                        180 60  60  0
1133    ctx_lh_G_temp_sup_G_temp_transv_and_interm_S    60  60  220 0
1134    ctx_lh_G_temp_sup_Lateral_aspect                220 60  220 0
1135    ctx_lh_G_temp_sup_Planum_polare                 65  220 60  0
1136    ctx_lh_G_temp_sup_Planum_tempolare              25  140 20  0
1137    ctx_lh_G_and_S_transverse_frontopolar           13  0   250 0
1138    ctx_lh_Lat_Fissure_ant_sgt_ramus_horizontal     61  20  220 0
1139    ctx_lh_Lat_Fissure_ant_sgt_ramus_vertical       61  20  60  0
1140    ctx_lh_Lat_Fissure_post_sgt                     61  60  100 0
1141    ctx_lh_Medial_wall                              25  25  25  0
1142    ctx_lh_Pole_occipital                           140 20  60  0
1143    ctx_lh_Pole_temporal                            220 180 20  0
1144    ctx_lh_S_calcarine                              63  180 180 0
1145    ctx_lh_S_central                                221 20  10  0
1146    ctx_lh_S_central_insula                         21  220 20  0
1147    ctx_lh_S_cingulate_Main_part_and_Intracingulate 183 100 20  0
1148    ctx_lh_S_cingulate_Marginalis_part              221 20  100 0
1149    ctx_lh_S_circular_insula_anterior               221 60  140 0
